symbol,company_name,sector,model_1,model_2,loss_type,sample_size,mean_loss_differential,dm_statistic,raw_p_value,holm_adjusted_p_value,reject,available,unavailable_reason,hac_lag,forecast_horizon,hln_correction_factor,holm_family_size,formal_run_id,formal_cutoff,formal_git_sha,supplementary_package_id,evidence_source
APX,"Apex Mining Co., Inc.",Mining and Oil,lag_reg,lstm,squared_error,246,0.00053329850817115,0.5345729111621375,0.5934300005358336,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,lag_reg,naive,squared_error,246,-0.00040273082125649685,-1.1499329209715907,0.2512927306776974,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,lstm,squared_error,246,0.0086715195018539,1.433848475930247,0.1528905213699097,0.9173431282194582,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,naive,squared_error,246,0.007735490172426251,1.1950378160960442,0.2332277722982401,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,lstm,naive,squared_error,246,-0.0009360293294276468,-0.8318332321366617,0.4063131055055283,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,lag_reg,arima,absolute_error,246,-0.010779608659483514,-1.9242782883473177,0.05547799864419015,0.33286799186514093,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,lag_reg,lstm,absolute_error,246,-0.0009026353127403687,-0.9146821340781918,0.3612578546651263,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,lag_reg,naive,absolute_error,246,-0.00013014130141299443,-0.40032464234787923,0.6892662614281699,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,lstm,absolute_error,246,0.009876973346743145,1.891726222168652,0.059706822260064935,0.33286799186514093,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,naive,absolute_error,246,0.010649467358070519,1.8877715692043446,0.060238435067835244,0.33286799186514093,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
