symbol,date,open,high,low,close,volume,source_name,source_reference,source_report_sha256,verification_status,verification_notes
BPI,2024-05-29,124.9,125,120,120.8,3496450,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
GLO,2024-05-29,1973,1975,1930,1954,68680,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
ICT,2024-05-29,334,336,327,329.6,1985430,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
JFC,2024-05-29,221,224.4,220.6,221,295140,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
MBT,2024-05-29,68.2,68.95,67,67,2583980,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
MEG,2024-05-29,1.9,1.9,1.84,1.85,15306000,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
MER,2024-05-29,366,370,366,369.2,179900,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
NIKL,2024-05-29,4.12,4.12,4.04,4.1,7537000,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
PGOLD,2024-05-29,24,24,23.45,23.75,369100,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
SCC,2024-05-29,32.9,33.05,32.7,32.9,587300,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
SECB,2024-05-29,69,69.15,68.8,69,334750,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
SHLPH,2024-05-29,10.66,10.66,10.46,10.46,338100,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
SMPH,2024-05-29,27.2,27.4,26.55,26.55,14899600,Philippine Stock Exchange Daily Quotation Report,https://documents.pse.com.ph/wp-content/uploads/sites/15/2024/05/May-29-2024-EOD.pdf,eca5563a524ace0a2d3ee775f726e3db0c93d36c10654390315b88a226226158,VERIFIED,Primary extraction matched independent visual source-row check.
